"The recipe","Source file count","Source file changed count","Cumulative scanning time","99th percentile scanning time","Max scanning time","Cumulative edit time","99th percentile edit time","Max edit time"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.migrate.lang.JavaLangAPIs","23","19","0","0.0","0","918","0.99","292"
"org.openrewrite.xml.ChangeTagValue","115","19","0","0.0","0","305709","0.99","70292"
"org.openrewrite.java.migrate.Jre17AgentMainPreMainPublic","23","19","0","0.0","0","1750","0.99","375"
"org.openrewrite.reactive.reactor.ReactorProcessorCreateToSinkRecipes$ReplayProcessorCreateIntLiteralFalseToSinkRecipe","23","19","0","0.0","0","264665","0.99","64833"
"org.openrewrite.java.migrate.RemovedSSLSessionGetPeerCertificateChainMethodImpl","23","19","0","0.0","0","1122","0.99","167"
"org.openrewrite.java.ChangeMethodName","1610","19","0","0.0","0","39258370","0.99","2814625"
"org.openrewrite.java.migrate.lombok.UpdateLombokToJava11","23","19","0","0.0","0","750","0.99","125"
"org.openrewrite.java.testing.junit5.UseXMLUnitLegacy","23","19","0","0.0","0","958","0.99","208"
"org.openrewrite.java.migrate.net.MigrateURLDecoderDecode","23","19","0","0.0","0","73250","0.99","11709"
"org.openrewrite.java.migrate.util.OptionalNotPresentToIsEmpty","23","19","0","0.0","0","1294501","0.99","215000"
"org.openrewrite.java.spring.boot2.SpringBootMavenPluginMigrateAgentToAgents","23","19","0","0.0","0","1273417","0.99","1272375"
"org.openrewrite.java.migrate.sql.JavaSqlAPIs","23","19","0","0.0","0","1334","0.99","375"
"org.openrewrite.java.migrate.AddMissingMethodImplementation","253","19","0","0.0","0","6437172","0.99","1053625"
"org.openrewrite.reactive.reactor.ReactorProcessorCreateToSinkRecipes$ReplayProcessorCreateToSinkRecipe","23","19","0","0.0","0","296708","0.99","52458"
"org.openrewrite.java.migrate.maven.UseMavenCompilerPluginReleaseConfiguration","46","19","0","0.0","0","6154331","0.99","4598916"
"org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_8","69","19","0","0.0","0","2953","0.99","125"
"org.openrewrite.java.migrate.jakarta.JavaxInterceptorToJakartaInterceptor","23","19","0","0.0","0","917","0.99","334"
"org.openrewrite.java.springdoc.ReplaceSpringFoxDependencies","23","19","0","0.0","0","1086","0.99","250"
"org.openrewrite.java.migrate.ThreadStopDestroy","23","19","0","0.0","0","1164","0.99","291"
"org.openrewrite.java.testing.mockito.MockitoJUnitRunnerSilentToExtension","23","19","0","0.0","0","155418","0.99","27042"
"org.openrewrite.java.testing.junit5.UpdateMockWebServer","23","19","0","0.0","0","121918","0.99","28500"
